axis,ligand,shared_state_samples_with_gated_pair,median_shared_consensus_score,most_common_top_sender,prespecified_target_programs,supported_target_programs,n_supported_target_programs,core_25_overlap_genes,top50_marker_overlap_genes,axis_positive_patients,axis_mean_delta,interpretation
FN1_integrin,FN1,15,0.9688085676037483,Fibroblast_Mesenchymal,ECM_integrin_FAK;ECM_remodeling;TEAD_YAP_TAZ_targets;YAP_TAZ_TEAD,ECM_integrin_FAK;ECM_remodeling;TEAD_YAP_TAZ_targets;YAP_TAZ_TEAD,4,COL1A1;COL1A2;COL3A1;COL5A1;FN1;POSTN;THBS2;TIMP1,COL1A1;COL1A2;COL3A1;COL5A1;FN1;POSTN;THBS2;TIMP1,4,-0.004768406961178055,"target-program context supported, but formal LR score is not shared-state specific"
POSTN_integrin,POSTN,15,0.9666666666666667,Fibroblast_Mesenchymal,ECM_integrin_FAK;ECM_remodeling;TEAD_YAP_TAZ_targets;YAP_TAZ_TEAD,ECM_integrin_FAK;ECM_remodeling;TEAD_YAP_TAZ_targets;YAP_TAZ_TEAD,4,COL1A1;COL1A2;COL3A1;COL5A1;FN1;POSTN;THBS2;TIMP1,COL1A1;COL1A2;COL3A1;COL5A1;FN1;POSTN;THBS2;TIMP1,4,-0.007541276215975009,"target-program context supported, but formal LR score is not shared-state specific"
SPP1_CD44_integrin,SPP1,15,0.9701204819277108,Myeloid,ECM_integrin_FAK;NFkB_inflammatory;RELA_NFKB_targets,ECM_integrin_FAK;NFkB_inflammatory;RELA_NFKB_targets,3,COL1A1;COL1A2;COL3A1;COL5A1;FN1;POSTN;THBS2,COL1A1;COL1A2;COL3A1;COL5A1;FN1;POSTN;THBS2,2,-0.003918786256135643,"target-program context supported, but formal LR score is not shared-state specific"
THBS_TGFB_activation,THBS2,11,0.9696385542168674,Fibroblast_Mesenchymal,ECM_remodeling;SMAD2_3_TGFbeta_targets;TGF_beta_SMAD,ECM_remodeling;SMAD2_3_TGFbeta_targets;TGF_beta_SMAD,3,COL1A1;COL1A2;COL3A1;FN1;POSTN;SERPINE1;THBS2;TIMP1,COL1A1;COL1A2;COL3A1;FN1;POSTN;SERPINE1;THBS2;TIMP1,4,-0.004230254350736266,"target-program context supported, but formal LR score is not shared-state specific"
THBS_TGFB_activation,THBS1,15,0.9634538152610442,Fibroblast_Mesenchymal,ECM_remodeling;SMAD2_3_TGFbeta_targets;TGF_beta_SMAD,ECM_remodeling;SMAD2_3_TGFbeta_targets;TGF_beta_SMAD,3,COL1A1;COL1A2;COL3A1;FN1;POSTN;SERPINE1;THBS2;TIMP1,COL1A1;COL1A2;COL3A1;FN1;POSTN;SERPINE1;THBS2;TIMP1,4,-0.004230254350736266,"target-program context supported, but formal LR score is not shared-state specific"
TGFB_TGFBR,TGFB2,14,0.9118072289156626,Fibroblast_Mesenchymal,SMAD2_3_TGFbeta_targets;TGF_beta_SMAD,SMAD2_3_TGFbeta_targets;TGF_beta_SMAD,2,COL1A1;COL1A2;COL3A1;SERPINE1;THBS2,COL1A1;COL1A2;COL3A1;SERPINE1;THBS2,7,-0.0008710397144132095,"target-program context supported, but formal LR score is not shared-state specific"
TGFB_TGFBR,TGFB3,14,0.8962248995983936,Fibroblast_Mesenchymal,SMAD2_3_TGFbeta_targets;TGF_beta_SMAD,SMAD2_3_TGFbeta_targets;TGF_beta_SMAD,2,COL1A1;COL1A2;COL3A1;SERPINE1;THBS2,COL1A1;COL1A2;COL3A1;SERPINE1;THBS2,7,-0.0008710397144132095,"target-program context supported, but formal LR score is not shared-state specific"
TGFB_TGFBR,TGFB1,15,0.8927710843373494,T_NK,SMAD2_3_TGFbeta_targets;TGF_beta_SMAD,SMAD2_3_TGFbeta_targets;TGF_beta_SMAD,2,COL1A1;COL1A2;COL3A1;SERPINE1;THBS2,COL1A1;COL1A2;COL3A1;SERPINE1;THBS2,7,-0.0008710397144132095,"target-program context supported, but formal LR score is not shared-state specific"
CXCL_CXCR,CXCL8,9,0.7373493975903614,Myeloid,NFkB_inflammatory;RELA_NFKB_targets,NFkB_inflammatory;RELA_NFKB_targets,2,,,2,-0.09749040606871931,"target-program context supported, but formal LR score is not shared-state specific"
CXCL_CXCR,CXCL12,9,0.730441767068273,Fibroblast_Mesenchymal,NFkB_inflammatory;RELA_NFKB_targets,NFkB_inflammatory;RELA_NFKB_targets,2,,,2,-0.09749040606871931,"target-program context supported, but formal LR score is not shared-state specific"
CXCL_CXCR,CXCL3,9,0.7209638554216867,Myeloid,NFkB_inflammatory;RELA_NFKB_targets,NFkB_inflammatory;RELA_NFKB_targets,2,,,2,-0.09749040606871931,"target-program context supported, but formal LR score is not shared-state specific"
CXCL_CXCR,CXCL2,9,0.717429718875502,Myeloid,NFkB_inflammatory;RELA_NFKB_targets,NFkB_inflammatory;RELA_NFKB_targets,2,,,2,-0.09749040606871931,"target-program context supported, but formal LR score is not shared-state specific"
CXCL_CXCR,CXCL1,7,0.6671352074966534,Myeloid,NFkB_inflammatory;RELA_NFKB_targets,NFkB_inflammatory;RELA_NFKB_targets,2,,,2,-0.09749040606871931,"target-program context supported, but formal LR score is not shared-state specific"
CCL_CCR,CCL5,3,0.6308567603748327,T_NK,NFkB_inflammatory;RELA_NFKB_targets,NFkB_inflammatory;RELA_NFKB_targets,2,,,3,-0.10219634091923249,"target-program context supported, but formal LR score is not shared-state specific"
CCL_CCR,CCL3,3,0.6072289156626507,Myeloid,NFkB_inflammatory;RELA_NFKB_targets,NFkB_inflammatory;RELA_NFKB_targets,2,,,3,-0.10219634091923249,"target-program context supported, but formal LR score is not shared-state specific"
CCL_CCR,CCL4,3,0.5944444444444446,Myeloid,NFkB_inflammatory;RELA_NFKB_targets,NFkB_inflammatory;RELA_NFKB_targets,2,,,3,-0.10219634091923249,"target-program context supported, but formal LR score is not shared-state specific"
CCL_CCR,CCL2,3,0.5425033467202143,Myeloid,NFkB_inflammatory;RELA_NFKB_targets,NFkB_inflammatory;RELA_NFKB_targets,2,,,3,-0.10219634091923249,"target-program context supported, but formal LR score is not shared-state specific"
VEGF_VEGFR,VEGFA,15,0.9445783132530121,Myeloid,Hypoxia_HIF;VEGF_axis,,0,,,2,-0.019095939312806797,weak target-program and LR support; keep as boundary or do not emphasize
VEGF_VEGFR,PGF,12,0.936144578313253,Fibroblast_Mesenchymal,Hypoxia_HIF;VEGF_axis,,0,,,2,-0.019095939312806797,weak target-program and LR support; keep as boundary or do not emphasize
VEGF_VEGFR,VEGFB,14,0.9235609103078983,Myeloid,Hypoxia_HIF;VEGF_axis,,0,,,2,-0.019095939312806797,weak target-program and LR support; keep as boundary or do not emphasize
PDGF_PDGFR,PDGFB,15,0.9170013386880858,Endothelial,AP1_JUN_FOS;PDGF_axis,,0,,,4,-0.02220258813029896,weak target-program and LR support; keep as boundary or do not emphasize
PDGF_PDGFR,PDGFC,15,0.9097724230254352,Fibroblast_Mesenchymal,AP1_JUN_FOS;PDGF_axis,,0,,,4,-0.02220258813029896,weak target-program and LR support; keep as boundary or do not emphasize
PDGF_PDGFR,PDGFA,15,0.9081659973226239,Fibroblast_Mesenchymal,AP1_JUN_FOS;PDGF_axis,,0,,,4,-0.02220258813029896,weak target-program and LR support; keep as boundary or do not emphasize
PDGF_PDGFR,PDGFD,13,0.8585542168674698,Endothelial,AP1_JUN_FOS;PDGF_axis,,0,,,4,-0.02220258813029896,weak target-program and LR support; keep as boundary or do not emphasize
